,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay
Administrative,1.0,0.6015833421250465,0.37685042930728413,0.2558481402326161,0.4311193396245173,0.37393901295965976,-0.22356263038423888,-0.3164829975272462,0.09898958539969928,-0.09477759754424928
Administrative_Duration,0.6015833421250465,1.0,0.30270970897579613,0.23803078935000452,0.2890866214062228,0.3554219535016437,-0.14417040950712928,-0.20579775727446142,0.06760848087035075,-0.07330372492126196
Informational,0.37685042930728413,0.30270970897579613,1.0,0.6189548617813868,0.3741642906577367,0.38750530625986745,-0.11611361638719535,-0.16366606078450502,0.04863169195373808,-0.04821925398952437
Informational_Duration,0.2558481402326161,0.23803078935000452,0.6189548617813868,1.0,0.2800462678591809,0.34736357744648133,-0.07406660989572517,-0.10527568334786754,0.03086087371677237,-0.030576549486371268
ProductRelated,0.4311193396245173,0.2890866214062228,0.3741642906577367,0.2800462678591809,1.0,0.8609268361763763,-0.20457763335076262,-0.29252628311357676,0.056281794108844097,-0.023958174724001854
ProductRelated_Duration,0.37393901295965976,0.3554219535016437,0.38750530625986745,0.34736357744648133,0.8609268361763763,1.0,-0.18454111529429224,-0.25198409740610433,0.05282306295013965,-0.0363798450973802
BounceRates,-0.22356263038423888,-0.14417040950712928,-0.11611361638719535,-0.07406660989572517,-0.20457763335076262,-0.18454111529429224,1.0,0.9130043961815343,-0.11938602629479111,0.07270225308254728
ExitRates,-0.3164829975272462,-0.20579775727446142,-0.16366606078450502,-0.10527568334786754,-0.29252628311357676,-0.25198409740610433,0.9130043961815343,1.0,-0.17449831000176516,0.10224180209856229
PageValues,0.09898958539969928,0.06760848087035075,0.04863169195373808,0.03086087371677237,0.056281794108844097,0.05282306295013965,-0.11938602629479111,-0.17449831000176516,1.0,-0.06354127178532677
SpecialDay,-0.09477759754424928,-0.07330372492126196,-0.04821925398952437,-0.030576549486371268,-0.023958174724001854,-0.0363798450973802,0.07270225308254728,0.10224180209856229,-0.06354127178532677,1.0
