,avg,t_value,p_value,reject?
KNeighborsClassifier - SVC,0.0028386050283861763,1.6550318531021109,0.13230296093397703,False
KNeighborsClassifier - DecisionTreeClassifier,-0.0094079480940793,-8.582787051805628,1.2567631464755656e-05,True
KNeighborsClassifier - RandomForestClassifier,-0.015571776155717476,-10.778129115337755,1.911337414238418e-06,True
KNeighborsClassifier - MLPClassifier,-0.012652068126520533,-5.829993723465079,0.0002499194791055645,True
KNeighborsClassifier - GradientBoostingClassifier,0.03260340632603431,1.5546918088733215,0.15444085041895003,False
SVC - DecisionTreeClassifier,-0.012246553122465476,-6.092210587516455,0.00018094736304820623,True
SVC - RandomForestClassifier,-0.018410381184103652,-10.335993296687338,2.715923674284189e-06,True
SVC - MLPClassifier,-0.015490673154906709,-6.767454301135107,8.201257301938323e-05,True
SVC - GradientBoostingClassifier,0.029764801297648136,1.3989925165582024,0.19532073560240784,False
DecisionTreeClassifier - RandomForestClassifier,-0.006163828061638177,-4.878749614624366,0.0008728893677895116,True
DecisionTreeClassifier - MLPClassifier,-0.0032441200324412334,-2.37170824512627,0.04179180077711398,True
DecisionTreeClassifier - GradientBoostingClassifier,0.04201135442011361,2.013676548658445,0.07488247108843499,False
RandomForestClassifier - MLPClassifier,0.0029197080291969435,1.9574984707048928,0.08197329680650456,False
RandomForestClassifier - GradientBoostingClassifier,0.04817518248175179,2.361385740050343,0.04250474887974342,True
MLPClassifier - GradientBoostingClassifier,0.045255474452554845,2.159872344304016,0.05907974321294883,False
